id,name,parent,type,is_deleted,created_at,updated_at,active,source_id
1830917,Boiragi Mor,1830470,7,FALSE,now(),now(),TRUE,92091
1830918,Ersad Bridge Road,1830470,7,FALSE,now(),now(),TRUE,148753
1830919,Ersad Bridge Road,1830470,7,FALSE,now(),now(),TRUE,148752
1830920,Ersad Bridge,1830470,7,FALSE,now(),now(),TRUE,92093
1830921,Board Ghar,1830470,7,FALSE,now(),now(),TRUE,92088
1830922,Pakar Matha,1830470,7,FALSE,now(),now(),TRUE,131001
1830923,Bicharpotir More,1830470,7,FALSE,now(),now(),TRUE,92240
1830924,Kathakoli Road,1830470,7,FALSE,now(),now(),TRUE,92096
1830925,Kathakoli Road,1830470,7,FALSE,now(),now(),TRUE,92097
1830926,Ersad Bridge,1830470,7,FALSE,now(),now(),TRUE,92092
1830927,Board Ghar,1830470,7,FALSE,now(),now(),TRUE,92089
1830928,Zela Para,1830470,7,FALSE,now(),now(),TRUE,148751
1830929,Haque Counter,1830470,7,FALSE,now(),now(),TRUE,92095
1830930,Zela Para,1830470,7,FALSE,now(),now(),TRUE,92250
1830931,Boiragi Mor,1830470,7,FALSE,now(),now(),TRUE,92090
1830932,Ersad Bridge,1830470,7,FALSE,now(),now(),TRUE,92094
1830933,Pakar Matha,1830470,7,FALSE,now(),now(),TRUE,63833
1830934,13 No Rail Gate,1830471,7,FALSE,now(),now(),TRUE,92134
1830935,Boirampur Hat,1830471,7,FALSE,now(),now(),TRUE,92137
1830936,Kacha Bari,1830471,7,FALSE,now(),now(),TRUE,92143
1830937,Chou Poti,1830471,7,FALSE,now(),now(),TRUE,92140
1830938,Badarganj Bus Stand road,1830471,7,FALSE,now(),now(),TRUE,148747
1830939,13 No Rail Gate,1830471,7,FALSE,now(),now(),TRUE,92135
1830940,Chou Poti,1830471,7,FALSE,now(),now(),TRUE,92141
1830941,13 No Rail Gate Road,1830471,7,FALSE,now(),now(),TRUE,148748
1830942,Kacha Bari,1830471,7,FALSE,now(),now(),TRUE,92144
1830943,Boirampur,1830471,7,FALSE,now(),now(),TRUE,133211
